reviewId;content;score;sentimen
a4cb1446-d2d9-477c-afa2-022f0f5a0b05;Nggk mmbantu sm sekali...nyesel aq download;1;negatif
4af72993-dd6d-40ce-93e7-5d38461df6d2;Jelek kali, udah lelet.setiap yang masuk potongan 500.setiap ngirim 2500. Banyak kali potongan kau Mending pake ovo;1;negatif
395608ab-0bbb-4861-8095-c4c3ed83b54b;parah upgred premium gagal terus di suruh nunggu 3/5 hari kayak gitu terus padahal uang udh masuk di tarik gak bisa di tf juga gak bisa parah;1;negatif
412f8a1b-0b1b-4ea7-9f79-fae7b02d94da;sangat membantu sekali;5;postif
b0a268dc-1fb8-4882-81d5-34271b7f0a37;baik sekali;5;postif
1e00a663-47b3-4481-bda2-b7b0a116428e;??;5;postif
0a88e19d-65f5-425d-8fd3-2a48fc932fab;top bangeeeeet pokokeeee;5;postif
6b53419e-67b0-4b52-9172-bc9b8d590b95;top up dananya tidak masuk ,penyelesaian masalah nya lama banget ,chat live nya jg gak ada ..ngadu ke robot sama aja ngadu ke pohon ... GAK REKOMENDASI unisntal aja;1;negatif
1128d7ad-652f-475b-a01a-3e1cb53677f0;sekarang agak lambat ketika mau masuk App Dana;4;positif
511c2207-245a-4d82-9554-66a8e6133b0c;Trima kasih udah membantu sayah.jadi ringan buat semua yg cyah butuhkan;5;postif
f9aed7a3-63d3-4d61-88df-0c7f6abfa6be;bagus;5;postif
21a3963b-2b04-41b7-8077-c321b9df3465;sangat membantu sekali DANA ini;5;postif
6775d79c-e227-41cd-834e-6e69e761b1cb;Baru pakai udah dibuat puyeng* kesulitan transfer, gagal melulu, notifnya *status bank salah*;1;negatif
56148ec6-7d0b-40e0-b54d-dd9c2c96049b;good;5;postif
b7034275-1da5-4507-bd05-61979252f9ca;Aplikasi tidak bagus ,,, mengecewakan;1;negatif
a9cbc2b3-6a8d-421d-a14e-079a34a40fb0;puas;5;postif
940b46fc-ca6c-448e-9a5c-d51dfda5be5d;pokonya TERIMAKASIH BUAT D A N A.;5;postif
316565db-4128-4f1a-b03d-b236061888e8;"udah 2 hari ngga bisa transfer....isi notifnya, sistem sedang sibuk... udah pake cara update aplikasi da lain"" ttp ngga bisa... tolong di perbaiki secepatnya ya,";3;netral
3bea1369-c61b-497d-aac1-f2c37b4d6786;bagus;4;positif
6047e150-d8df-4c06-9443-91f4dd9d40d4;bagus;5;postif
06925b78-b72a-477a-82e3-e18ea7dae8ee;makin kesini makin kacau.. muncul saldo ajh lama bgt..;1;negatif
686f2217-dda0-44b9-9677-f61587ebd56f;bagus;4;positif
26346bc7-58a9-4015-911b-83592b887e7c;Good???? utk semua trx sangat mudah tdk ada kendala apapun?? Saran saya utk login ke akun dana klo bisa jgn langsung menggunakan nomor hp ,soalnya sdh byk disalahgunakan oleh pihak lain ,alternatifnya sihh menggunakan ID/USERNAME pada saat mau login;5;postif
a3c22d16-46f6-46cc-9639-ab4d52e2a026;Mantap??;5;postif
5e7e5bc7-d67c-4d2a-bbaa-ccc75386c564;mantap;5;postif
434f40a0-c188-4ec0-aa81-cb299e869adc;good;5;postif
d5164dbd-0423-4124-8e21-d957c9db7094;Gak jelas;1;negatif
84f81638-991d-4f8f-947e-3dda4c8817f4;mantap;5;postif
7fafa769-9d6c-46a9-8cc7-04fb05a3eab8;Ok;5;postif
40036f06-31fc-4260-9404-367dfc2d0b6e;4 Jempol ??;5;postif
15a3570a-18ae-40ac-ab94-d92f47c0e6d0;sangat bagus pkoknya;5;postif
43a57b35-e8b1-4c9f-81ed-4d116dea5308;baik;5;postif
8c39f2d6-606c-40f7-a0b0-1be286f2dad4;good;5;postif
154c9407-e205-4cb0-8a26-5ad60127c3af;Aplikasi jelek sekali.masa mau res pin aja ga ada respon .mending hapus aja aplikasi nya kalo g mau respon g usah di pasarin;1;negatif
b8a1208c-4d3e-412f-a3d7-6bbfa31ebe7a;good job;4;positif
ffd1a118-cb07-46f6-a866-3070bdf699df;Ribet bangt LG penting. ada aja upgrad susah lagi... itu bener data saya fto Selfi saya..lambat bangt.coba besok coba setahun lagi.sebelumya lancar.;1;negatif
d285ce01-a49a-4053-8221-a4e7206f6676;Bagus;5;postif
cd9ccf78-ae29-4820-85bc-87269ff441d0;Mohon perbaiki lagi sistem;5;postif
