reviewId,content,score,sentimen,Target_type
b9ace15d-8a0b-4e3b-a7b3-d58b3c7d0aa4,aplikasi yang tidak,5,positif,1
94d48ee8-42c5-480f-af13-387414094690,risman,5,positif,1
25948c90-3fa0-4c23-a545-1ab8f301fbc0,apakah banyak bug kaya game saja benerin bug buru seru seru seru saya sudah update kok di suru update lagi tanya itu kenapa ya tolong di benerin belum saya marah kalau saya marah dunia tidak baik baik saja,1,negatif,-1
37c22f12-969e-486c-b131-4a38b449fbc6,busuk sekarang sering kendala,1,negatif,-1
c7343a52-0959-433a-918e-047b3378c19c,ini kenapa tiba posisi acount saya luar mau masuk lagi tidak bisa tanya,1,negatif,-1
a4bea6dd-108f-488b-918d-449fbc7f747a,tidak beres akun dana,1,negatif,-1
a9bd0dec-3e4e-41a4-a3f7-b2d1c6f01773,ayo ubah ulas buntang semua bubar pakai dana sudah tidak becus,1,negatif,-1
d70e2433-5782-4ea3-83d2-74fccbbb75fd,,5,positif,1
8cdf1eb7-27b9-4c82-ac3a-d866f1a03c9e,apakah buruk banyak bug sering eror dan masih banyak lagi jangan di download ni apakah payah,1,negatif,-1
4d6cd67b-fffb-4cb5-8911-ead0e765c12a,ok,5,positif,1
c14ef7de-c175-47e2-a95c-e492f1f6c892,padah sudah uodet malah kelur sedri saya updt kan y sudah saya updet mau masuk eh di auruh updet lagi ini yang tolol siapa sih uwang saya bayak di sana woi babi lama lama ni dana pidah ke apakah seblah kali y,1,negatif,-1
fc205a69-e695-4682-872c-57db7cbd1e84,ini gimana tidak bisa login sih,5,positif,1
43310dfa-a8c0-45a8-8c86-bf69c3a2064f,kaya tai susah masuk aplikasi tai anjing cuih,1,negatif,-1
f6996682-4163-49b2-b65e-39036da9908c,kurang bagus,1,negatif,-1
8582a2c2-004d-40cb-9f22-cbead3776524,sudah top up tetapi tidak bisa buat transaksi,1,negatif,-1
6114b7a9-b1ee-4c9d-88d7-97b27f49f54b,tolong lah jangan banyak tingkah ini aplikasi minta di update sudah di updete malah tidak bisa masuk benar nya apa sih mau nya ini aplikasi,1,negatif,-1
b27ed2f0-c234-4653-be15-c84960b4b154,update terus bagus tidak makin jelek iya lelet lagi kaya siput mana mau transaksi lagi tidak bisa masuk hedeh makin kesini makin hancur ni aplikasi tidak guna update terus bagus juga tidak anying,1,negatif,-1
d4198c8d-c830-4409-9a00-871e82639a59,sayaa tidak bisa login kenapa duit masih banyak lagi,1,negatif,-1
cd180c9f-27e1-4e0a-89bc-7a5b01b68cec,dana tidak bisa di buka lapor ke ojk kalau tidak saldo kalian bisa hilang,1,negatif,-1
d7eab1ae-8228-4560-90cf-87b4a4e41930,mohon baik cepat kok tidak bisa buka dana saya,1,negatif,-1
84796562-b647-4f04-accd-35735b2f5f09,yang bikin aplikasi tolol,1,negatif,-1
1ae1f33e-1026-4faa-9855-f15513a9e873,parah sekarang pin baru ganti nga bisa pakai nga bisa kirim uang lot pula akun saya dibekuin mana ada saldo juta,1,negatif,-1
4e944a7f-d1b2-48ee-8ec0-6062d45794f0,dana kenapa tidak bisa di akses,2,negatif,-1
888c4f61-d848-4871-a812-c3c64c507b40,di updt malah buruk tidak bisa masuk,1,negatif,-1
a0124abc-46c5-45de-8a4c-94fba030aa9f,apa ini tiba verifikasi akun sudah masukin pin benar malah tidak muncul apa asli makin jelek ini apakah,1,negatif,-1
9de6af89-08a0-489f-8f5c-8ea2091c27bc,kontollll tidak bisa login ke akun sendiri gimanaaaa,1,negatif,-1
2ffef0f3-8802-47c6-9b47-e9c3ec6da32b,sistem ribet,1,negatif,-1
1a35d213-39c6-47ef-9f65-6245a47bb607,b etter rrtr tr r tr getter,3,netral,0
0403f3f0-4503-4e80-b38c-972af7411d2f,kak ini dana nya buat ngirim kok gagal ada apa ya,5,positif,1
33341199-ac31-4204-8b09-22eb36d2d817,apknya bagus cuma kadang jaringanya tolong di baik,5,positif,1
c6dfe405-084f-46a9-bfc3-46d4df350f41,mantap betul,5,positif,1
